"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Forms","3","0","Validation","0"
"0","","0","Dynamic Visibility","2","0","Panel Toggle","0"
"0","","0","Async Buttons","1","0","Error Button","0"
"0","","0","Async Buttons","1","0","Load Button","0"
"0","","0","Inputs","1","0","Text Input","0"
"0","","0","Checkboxes","1","0","Disabled Checkbox","0"
"0","","0","Tables","1","0","Cell Content","0"
"0","","0","Modals","1","0","Confirm Modal","0"
"0","","0","Inputs","1","0","Date Input","0"
"0","","0","Modals","1","0","Cancel Modal","0"
"0","","0","Checkboxes","2","0","Agree Checkbox","0"
"0","","0","Buttons","1","0","Disabled Button","0"
"0","","0","Inputs","1","0","URL Input","0"
"0","","0","Buttons","1","0","Secondary Button","0"
"0","","0","Tables","1","0","Row Count","0"
"0","","0","Slider","1","0","Value Change","0"
"0","","0","Drag & Drop","1","0","Item Drag","0"
"0","","0","IFrames","1","0","IFrame Content","0"
"0","","0","Inputs","1","0","Number Input","0"
"0","","0","Checkboxes","1","0","Notifications Checkbox","0"
"0","","0","Inputs","1","0","Search Input","0"
"0","","0","Dropdowns","1","0","Multi Select","0"
"0","","0","Dropdowns","1","0","Single Select","0"
"0","","0","Tables","1","0","Edit Action","0"
"0","","0","Modals","1","0","Open Modal","0"
"0","","0","Forms","1","0","Registration","0"
"0","","0","Buttons","1","0","Primary Button","0"
